ProductKey,ProductAlternateKey,ProductSubcategoryKey,WeightUnitMeasureCode,SizeUnitMeasureCode,EnglishProductName,SpanishProductName,FrenchProductName,StandardCost,FinishedGoodsFlag,Color,SafetyStockLevel,ReorderPoint,ListPrice,Size,SizeRange,Weight,DaysToManufacture,ProductLine,DealerPrice,Class,Style,ModelName,LargePhoto,EnglishDescription,FrenchDescription,ChineseDescription,ArabicDescription,HebrewDescription,ThaiDescription,GermanDescription,JapaneseDescription,TurkishDescription,StartDate,EndDate,Status
1,AR-5381,NULL,NULL,NULL,Adjustable Race,,,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
2,BA-8327,NULL,NULL,NULL,Bearing Ball,,,NULL,0,NA,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
3,BE-2349,NULL,NULL,NULL,BB Ball Bearing,,,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
4,BE-2908,NULL,NULL,NULL,Headset Ball Bearings,,,NULL,0,NA,800,600,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
5,BL-2036,NULL,NULL,NULL,Blade,,,NULL,0,NA,800,600,NULL,NULL,NA,NULL,1,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
6,CA-5965,NULL,NULL,NULL,LL Crankarm,,,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,L ,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
7,CA-6738,NULL,NULL,NULL,ML Crankarm,,,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,M ,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
8,CA-7457,NULL,NULL,NULL,HL Crankarm,,,NULL,0,Black,500,375,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
9,CB-2903,NULL,NULL,NULL,Chainring Bolts,,,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
10,CN-6137,NULL,NULL,NULL,Chainring Nut,,,NULL,0,Silver,1000,750,NULL,NULL,NA,NULL,0,NULL,NULL,NULL,NULL,NULL,0x47494638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2003-07-01 00:00:00.000,NULL,Current
