ProductKey,CultureName,ProductDescription
210,Afrikaans,Ons ligste en beste-gehalte aluminiumraam gemaak van die jongste allooi; dit word gesweis en getemper vir krag. Ons nuwe ontwerp bied maksimum gemak en werkverrigting.
210,Albanian,"Trupi ynâ prej alumini mâ tâ lehtâ dhe me cilâsinâ mâ tâ mirâ, i prodhuar nga aliazhi mâ i ri; âshtâ salduar dhe kalitur qâ tâ ketâ rezistencâ. Modeli ynâ novator ka si rezultat njâ rehati dhe rendiment maksimal."
210,Basque,"Gure kalitate oneneko aluminiozko koadro arinena, aleazio berrienarekin egindakoa. Soldatuta eta beroarekin tratatuta dago sendoagoa izan dadin. Gure diseinu berriztatzaileari esker erosotasun eta funtzionamendu bikainak eskaintzen ditu."
210,Bosnian (Cyrillic),??? ???????? ? ???????????????? ??? ??????? ?? ????????? ??????; ??????? ? ????? ?? ????? ???? ?????. ??? ?????????? ?????? ?? ?????? ? ????????? ????????? ? ???????????.
210,Bosnian (Latin),Nas najlaksi i visokokvalitetni ram izraden od najnovije legure; zavaren i kaljen da pruzi vecu snagu. Nas inovativan dizajn se ogleda u maksimumu udobnosti i performansi.
210,Brazilian,Nosso quadro de alum°nio mais leve e de melhor qualidade feito com a mais nova liga met†lica; Ç soldado e termotratado para ser resistente. Nosso design inovador resulta em conforto e desempenho m†ximos.
210,Bulgarian,"?????????????????? ? ????????? ?????????? ????? ? ????????? ?? ???-?????? ?????, ????? ????? ? ??????? ???? ?????????? ? ???????? ?????????. ????????? ?????? ????????? ?????????? ??????? ? ?????? ?? ??????????."
210,Catalan,"El nostre quadre d'alumini mÇs lleuger i de la millor qualitat, fabricat amb l'aliatge mÇs actual; estÖ soldat i termotractat per millorar-ne la resistäncia. El disseny innovador augmenta al mÖxim el rendiment i la comoditat."
210,Chinese - Hongkong,???????????????????,??????????????????????,?????????????????????????????????????
210,Chinese - Trad,?????????????????,???????????????????,??????????????????????????????????
210,Croatian,"Nas najlaksi i najkvalitetniji aluminijski okvir izraden od najnovije legure, zavaren i toplotno obraden za cvrstocu. Inovativni dizajn omogucuje maksimalnu udobnost i ucinkovitost."
210,Czech,N†s nejlehc° hlin°kovy r†m nejvyss° kvality vyrobeny z nejnovejs° slitiny; svarovany a tepelne zpracovany pro opravdovou pevnost. Pokrokovy design poskytuje maxim†ln° pohodl° a splnuje spickovÇ pozadavky.
210,Danish,"Vores letteste og bedste aluminiumstel, der er lavet af den nyeste legering. Stellet er svejset og varmebehandlet for at give det ekstra styrke. Vores innovative design giver maksimal komfort og ydeevne."
210,Dutch,"Ons lichtste aluminium frame van de beste kwaliteit, van de nieuwste legering. Gelast en getemperd. Ons innovatieve design resulteert in maximaal comfort en maximale prestaties."
210,Estonian,"Meie kergeim ja kvaliteetseim alumiiniumraam, mis valmistatud uusimast sulamist ning on tugevuse tagamiseks keevitatud ja termiliselt tîîdeldud. Meie uuendusliku kujunduse tulemuseks on maksimaalne mugavus ja toimivus."
210,Farsi,"???? ???? ? ?? ????? ???? ???? ?????????? ???? ?? ?? ?? ???????? ????? ????? ??? ???? ??? ???? ???? ??????? ?????? ??????? ? ????? ???? ??? ???. ????? ???????? ?? ?????? ????? ? ?????? ?????? ?? ?? ?????? ?? ????."
210,Finnish,"Kevein ja laadukkain alumiinirunkomme uusimmasta seoksesta, vahvistettu hitsaamalla ja lÑmpîkÑsittelyllÑ. Innovatiivisen suunnittelumme tuloksena on maksimaalinen mukavuus ja suorituskyky."
210,Galician,"O noso cadro de aluminio, m†is lixeiro e de mellor calidade, feito coa aliaxe m†is moderna, est† soldado e tratado con calor para ga§ar fortaleza. O noso dese§o innovador ten como resultado a m†xima comodidade e prestaci¢ns."
210,Greek,Á? „?? Ó?‡Ì?? „?‡?Â?? Ê‡? ÊÓ ‡??Á‡Á? „???Á?Á‡. ?‡Á‡Â?Ó?‡ÂÊ??? ‡„? Á? „?? Â??????? ???Ê‡ ‡???Ê?????. ? Â???????Â? ?‡? ? ?Ó?Ê??? Ó„Ó?Ó??‡Â?‡ Á?? Ó?????Á‡? Ê???ÂÁ? ‡?Á???. ? ?‡???Á?Ê?? Â?ÓÎ?‡Â? ‡„?Ì??Ó? Á? ÊÓ?‡??ÁÓ?? ??ÓÂ? ?‡? Á?? ?‡??ÁÓ?Ó? Ó„?Î?ÂÓ??.
210,Gujrati,?????? ??? ????? ????????? ????????? ????? ????? ??????? ???? ??? ????? ???????????? ??????????? ?????; ?????? ???? ????? ???? ??? ????????? ???????????? ??????? ?????? ??. ????? ???????? ?????? ?????? ???? ??? ????????????? ?????? ??? ??. 
210,Hindi,????? ???? ????? ?? ????? ???????? ???? ??????????? ?? ????? ???? ????? ?? ??? ??; ?????? ?? ??? ??? ????? ?? ????? ???? ???? ??. ????? ???? ?????? ?? ???????????? ?? ???? ???????? ?? ?? ?????? ???????? ???? ??. 
210,Hungarian,"Legkînnyebb Çs legjobb minosÇgu alum°niumv†zunk, amelyet a leg£jabb îtvîzetbol, a nagyobb szil†rds†g ÇrdekÇben hegesztÇssel Çs hokezelÇssel kÇsz°tÅnk. Az innovat°v forma maxim†lis kÇnyelmet Çs teljes°tmÇnyt eredmÇnyez."
210,Icelandic,LÇttasta og besta †lgrindin £r nyjustu †lblîndunni. H£n er sodin og medhîndlud med hita sem gerir hana sterkari. Nyst†rleg hînnun eykur _ëgindi og virkni.
210,Indonesian,Rangka aluminium kualitas terbaik kami yang paling ringan terbuat dari alloy terbaru dan melalui proses pengelasan serta pemanasan agar kuat. Desain inovatif kami menghasilkan kenyamanan dan performa maksimal.
210,Inuktitut,se8i3X6 nN5tx3ymi3XK9l nFC/s/6 tuz nNymJ6 m3DwozJu4 nFC/4n1i4; iWt3ymJ6 x7ml sN3gjx3bsym9li n8qJ7mEoxEymJ6. x0psq5gu4 nNymiK5 wlx6goxEym/K5 x7ml xJ8q5tx6Li.
210,Irish,Is againne at† an fr†ma al£manaim is Çadroime agus is airde caighde†n agus Ç dÇanta den ch¢imhiotal is nua°; rinneadh t†th£ agus c¢ire†il teasa air lena neart£.  Cuireann an dearadh nu†la°och seo againne an compord agus an fheidhm°ocht is fearr ar f†il.
210,Italian,"Telaio in alluminio, pió leggero e della migliore qualitÖ, realizzato in una lega di ultima generazione. Il telaio ä saldato e subisce un trattamento termico per aumentare la rigiditÖ della struttura. Il design innovativo consente di ottenere comfort e pr
210,Kannada,???? ????? ????????? ???????? ???????????? ˇ?????? ??? ????? ???? ?????????? ????????????; ????? ?????????????? ?????? ?????? ?????? ????? ???????????? ????????????. ???? ?????? ?????????? ?????? ???????? ????? ????? ???????????? ???????? ?????????????.ˇ
210,Kazakh,?????? ??? ????? ??? ?????? ?????? ????????? ????? ?? ???? ?????????? ????????; ???????? ???? ??????? ????????? ???? ????????????? ?????. ?????? ???????????? ?????? ??????????? ?? ?????? ?????????? ???????? ??? ?????????? ?????????????? ??? ??????????. 
210,Konkani,???? ???????? ???? ??? ??? ????????? ????? ????? ????????? ????? ???? ??????. ??????? ????? ???? ???????? ???? ????????. ???? ????? ???????? ?????? ????? ?? ????? ??? ??????????????? ?????.
210,Korean,?? ???? ?? ??? ??? ?? ? ???? ?? ?? ??? ??? ??? ???? ??????. ?? ???? ????? ??? ???? ??? ?????.
210,Latvian,"Musu vieglakais augstakas kvalitates aluminija ramis ir izgatavots no jaunaka sakausejuma. Tas ir metinats un rudits, lai nodrosinatu izturibu. Novatoriskais dizains sniedz maksimalu komfortu un rezultatu."
210,Lithuanian,"Lengviausias ir geriausios kokybes aliumininis remas, pagamintas is naujausio lydinio. Jis suvirintas ir paveiktas siluma, kad butu stipresnis. Novatoriskas dizainas uztikrina patoguma ir nasuma."
210,Luxenbourgish,"Eise liichtesten an hÇichwÑertegsten Aluminimumskader aus der neister Metallkompositioun; geschweeste Kader, dee mat Hâtzt behandelt gouf fir nach mÇi StabilitÇit. Maximalen Confort a maximal Leeschtung durch eisen innovativen Design.  "
210,Macedonian,?????? ???????? ? ????????????? ???????????? ????? ????????? ?? ??????? ??????; ??? ? ???????? ? ???????? ?????????? ?? ???????????. ?????? ?????????? ?????? ????????? ?? ?????????? ?????????? ? ???????????.
210,Malaysian,Rangka aluminium paling ringan dan berkualiti terbaik kami diperbuat daripada aloi terbaru; ia dikimpal dan diberi rawatan haba untuk kekuatan. Reka bentuk inovatif kami menghasilkan keselesaan dan pretasi maksimum.
210,Maori,"Ko ta matou anga konumohe tino mama rawa atu, tino whai kounga hoki, i hanga ki te puhi konganuku tino hou rawa atu; kua honoa, kua whakamaimoatia ki te wera kia kaha ai. Ko te mutunga mai o te haneanea me te whakamahi nga hua o ta matou hoahoatanga auaha
210,Marathi,???? ?????? ???? ??? ????? ??????? ????????????? ??????? ???? ????? ?????????????? ??????? ???; ?? ????? ?????? ???? ?????????? ?????? ??????-????????? ?????? ???. ?????? ????????? ?????????? ??????? ???????? ??? ??? ??????? ?????.
210,Nepali,???? ???? ?????? ????? ????? ? ??????????? ?????????? ?????? ????????? ?????; ??????? ????? ??????? ???? ????????? ??????? ? ??? ???????. ?????? ????????? ????? ????????? ?????? ???? ?????? ? ??????????? ???????? ?????.
210,Norwegian,VÜr letteste og kvalitetsmessig beste aluminiumsramme laget av den nyeste legeringen. Den er sveiset og varmebehandlet for storst mulig styrke. VÜrt innovative design gir komfort og ytelse i sërklasse.
210,Nynorsk,VÜr lettaste og i kvalitet beste aluminiumsramme laga av den nyaste legeringa. Ho er sveisa og varmebehandla for storst mogleg styrke. Det innovative designet vÜrt gir komfort og yting i sërklasse.
210,Pashto,????? ??? ? ?? ???? ???? ????? ?????? ???????? ????? ? ???? ???????? ??? ??? ??? ??? ??? ????? ?? ? ?? ???? ????? ????? ?? ????? ????? ??? ?? ?? ????? ? ?????? ? ?????? ????? ?? ????? ???? ? ?? ?????? ?? ??????? ??? ??.
210,Polish,"Najlzejsza aluminiowa rama o najwyzszej jakosci, wykonana z najnowoczesniejszego stopu. Rama jest spawana i hartowana w wysokiej temperaturze, co zapewnia jej odpowiednia wytrzymalosc. Dzieki innowacyjnemu projektowi ta rama zapewnia maksymalny komfort i 
210,Portuguese (European),"Feita a partir da mais recente liga, a nossa estrutura em alum°nio leve e da melhor qualidade; soldada e com tratamento tÇrmico para uma maior robustez. O nosso design inovador resulta num m†ximo do conforto e desempenho."
210,Punjabi,?????? ????? ??? ??? ????? ??? ???? ?? ??? ???? ??? ?? ??? ???? ??????? ?? ????????? ?????; ?????? ??? ?? ????? ???? ???? ??? ?? ??? ???-???????? ?????? ?????? ??? ??? ???? ?????????? ?????? ??? ??? ??? ???? ??? ??????? ?????? ???? ???
210,Quecha,•uqaykupa aluminyuykuqa aswan sampallam hinallataq ancha allin tukuy yachaywan sumaq ruwasqa; ancha ninapi chulluchispa tinkisqa allin takyanampaq.kayqa musuqmi allin kanapaq mana tukuriq.
