FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
1,20101229,3,1,1,60,22080.0,2010-12-29 00:00:00.000
2,20101229,3,1,2,60,20200.0,2010-12-29 00:00:00.000
3,20101229,3,1,2,61,2000.0,2010-12-29 00:00:00.000
4,20101229,3,1,1,61,2208.0,2010-12-29 00:00:00.000
5,20101229,3,1,1,62,1546.0,2010-12-29 00:00:00.000
6,20101229,3,1,2,62,1800.0,2010-12-29 00:00:00.000
7,20101229,3,1,2,65,380.0,2010-12-29 00:00:00.000
8,20101229,3,1,1,65,378.0,2010-12-29 00:00:00.000
9,20101229,3,1,1,66,344.0,2010-12-29 00:00:00.000
10,20101229,3,1,2,66,380.0,2010-12-29 00:00:00.000
11,20101229,3,1,2,67,200.0,2010-12-29 00:00:00.000
12,20101229,3,1,1,67,174.0,2010-12-29 00:00:00.000
13,20101229,3,1,1,68,132.0,2010-12-29 00:00:00.000
14,20101229,3,1,2,68,100.0,2010-12-29 00:00:00.000
15,20101229,3,1,1,69,38.0,2010-12-29 00:00:00.000
16,20101229,3,1,1,71,54.0,2010-12-29 00:00:00.000
17,20101229,3,1,2,71,70.0,2010-12-29 00:00:00.000
18,20101229,3,1,2,73,300.0,2010-12-29 00:00:00.000
19,20101229,3,1,1,73,250.0,2010-12-29 00:00:00.000
20,20101229,3,1,1,74,114.0,2010-12-29 00:00:00.000
21,20101229,3,1,2,74,100.0,2010-12-29 00:00:00.000
22,20101229,3,1,2,76,280.0,2010-12-29 00:00:00.000
23,20101229,3,1,1,76,297.0,2010-12-29 00:00:00.000
24,20101229,3,1,1,77,535.0,2010-12-29 00:00:00.000
25,20101229,3,1,2,77,480.0,2010-12-29 00:00:00.000
26,20101229,3,1,2,78,200.0,2010-12-29 00:00:00.000
27,20101229,3,1,1,78,153.0,2010-12-29 00:00:00.000
28,20101229,3,1,1,80,586.0,2010-12-29 00:00:00.000
29,20101229,3,1,2,80,550.0,2010-12-29 00:00:00.000
30,20101229,3,1,2,81,380.0,2010-12-29 00:00:00.000
31,20101229,3,1,1,81,363.0,2010-12-29 00:00:00.000
32,20101229,3,1,1,82,35.0,2010-12-29 00:00:00.000
33,20101229,3,1,2,82,40.0,2010-12-29 00:00:00.000
34,20101229,3,1,2,83,100.0,2010-12-29 00:00:00.000
35,20101229,3,1,1,83,123.0,2010-12-29 00:00:00.000
36,20101229,3,1,1,84,103.0,2010-12-29 00:00:00.000
37,20101229,3,1,2,84,100.0,2010-12-29 00:00:00.000
38,20101229,3,1,2,85,100.0,2010-12-29 00:00:00.000
39,20101229,3,1,1,85,98.0,2010-12-29 00:00:00.000
40,20101229,3,1,1,87,540.0,2010-12-29 00:00:00.000
41,20101229,3,1,2,87,480.0,2010-12-29 00:00:00.000
42,20101229,3,1,1,89,201.0,2010-12-29 00:00:00.000
43,20101229,3,1,1,90,309.0,2010-12-29 00:00:00.000
44,20101229,3,1,1,91,-247.0,2010-12-29 00:00:00.000
45,20101229,3,1,1,92,412.0,2010-12-29 00:00:00.000
46,20101229,3,1,1,94,214.0,2010-12-29 00:00:00.000
47,20101229,3,1,1,96,12.0,2010-12-29 00:00:00.000
48,20101229,3,2,1,12,23197.0,2010-12-29 00:00:00.000
49,20101229,3,6,1,52,3059.0,2010-12-29 00:00:00.000
50,20101229,3,6,2,52,3200.0,2010-12-29 00:00:00.000
51,20101229,3,6,2,53,2600.0,2010-12-29 00:00:00.000
52,20101229,3,6,1,53,2294.0,2010-12-29 00:00:00.000
53,20101229,3,6,1,56,33968.0,2010-12-29 00:00:00.000
54,20101229,3,6,2,56,27200.0,2010-12-29 00:00:00.000
55,20101229,3,6,2,57,3800.0,2010-12-29 00:00:00.000
56,20101229,3,6,1,57,3186.0,2010-12-29 00:00:00.000
57,20101229,3,6,1,60,16320.0,2010-12-29 00:00:00.000
58,20101229,3,6,2,60,14300.0,2010-12-29 00:00:00.000
59,20101229,3,6,2,61,1600.0,2010-12-29 00:00:00.000
60,20101229,3,6,1,61,1632.0,2010-12-29 00:00:00.000
61,20101229,3,6,1,62,979.0,2010-12-29 00:00:00.000
62,20101229,3,6,2,62,1100.0,2010-12-29 00:00:00.000
63,20101229,3,6,2,63,2400.0,2010-12-29 00:00:00.000
64,20101229,3,6,1,63,1912.0,2010-12-29 00:00:00.000
65,20101229,3,6,1,65,220.0,2010-12-29 00:00:00.000
66,20101229,3,6,2,65,280.0,2010-12-29 00:00:00.000
67,20101229,3,6,2,66,200.0,2010-12-29 00:00:00.000
68,20101229,3,6,1,66,200.0,2010-12-29 00:00:00.000
69,20101229,3,6,1,67,104.0,2010-12-29 00:00:00.000
70,20101229,3,6,2,67,100.0,2010-12-29 00:00:00.000
71,20101229,3,6,2,68,100.0,2010-12-29 00:00:00.000
72,20101229,3,6,1,68,76.0,2010-12-29 00:00:00.000
73,20101229,3,6,1,69,22.0,2010-12-29 00:00:00.000
74,20101229,3,6,1,71,32.0,2010-12-29 00:00:00.000
75,20101229,3,6,2,71,50.0,2010-12-29 00:00:00.000
76,20101229,3,6,2,72,200.0,2010-12-29 00:00:00.000
77,20101229,3,6,1,72,153.0,2010-12-29 00:00:00.000
78,20101229,3,6,1,73,151.0,2010-12-29 00:00:00.000
79,20101229,3,6,2,73,220.0,2010-12-29 00:00:00.000
80,20101229,3,6,2,74,100.0,2010-12-29 00:00:00.000
81,20101229,3,6,1,74,96.0,2010-12-29 00:00:00.000
82,20101229,3,6,1,76,486.0,2010-12-29 00:00:00.000
83,20101229,3,6,2,76,750.0,2010-12-29 00:00:00.000
84,20101229,3,6,2,77,380.0,2010-12-29 00:00:00.000
85,20101229,3,6,1,77,346.0,2010-12-29 00:00:00.000
86,20101229,3,6,1,78,113.0,2010-12-29 00:00:00.000
87,20101229,3,6,2,78,100.0,2010-12-29 00:00:00.000
88,20101229,3,6,2,80,380.0,2010-12-29 00:00:00.000
89,20101229,3,6,1,80,449.0,2010-12-29 00:00:00.000
90,20101229,3,6,1,81,278.0,2010-12-29 00:00:00.000
91,20101229,3,6,2,81,280.0,2010-12-29 00:00:00.000
92,20101229,3,6,2,82,30.0,2010-12-29 00:00:00.000
93,20101229,3,6,1,82,29.0,2010-12-29 00:00:00.000
94,20101229,3,6,1,83,102.0,2010-12-29 00:00:00.000
95,20101229,3,6,2,83,90.0,2010-12-29 00:00:00.000
96,20101229,3,6,2,84,80.0,2010-12-29 00:00:00.000
97,20101229,3,6,1,84,92.0,2010-12-29 00:00:00.000
98,20101229,3,6,1,85,82.0,2010-12-29 00:00:00.000
99,20101229,3,6,2,85,80.0,2010-12-29 00:00:00.000
100,20101229,3,6,2,87,380.0,2010-12-29 00:00:00.000
101,20101229,3,6,1,87,360.0,2010-12-29 00:00:00.000
102,20101229,3,6,1,89,179.0,2010-12-29 00:00:00.000
103,20101229,3,6,1,90,276.0,2010-12-29 00:00:00.000
104,20101229,3,6,1,91,-221.0,2010-12-29 00:00:00.000
105,20101229,3,6,1,92,368.0,2010-12-29 00:00:00.000
106,20101229,3,6,1,94,3642.0,2010-12-29 00:00:00.000
107,20101229,3,6,1,96,8.0,2010-12-29 00:00:00.000
108,20101229,3,6,1,97,98.0,2010-12-29 00:00:00.000
109,20101229,3,6,1,99,45000.0,2010-12-29 00:00:00.000
110,20101229,3,6,1,101,76475.0,2010-12-29 00:00:00.000
111,20101229,3,6,2,101,91800.0,2010-12-29 00:00:00.000
112,20101229,3,7,1,4,76978.0,2010-12-29 00:00:00.000
113,20101229,3,7,1,6,124391.0,2010-12-29 00:00:00.000
114,20101229,3,7,1,7,3556.0,2010-12-29 00:00:00.000
115,20101229,3,7,1,8,2487.0,2010-12-29 00:00:00.000
116,20101229,3,7,1,13,19218.0,2010-12-29 00:00:00.000
117,20101229,3,7,1,14,12687.0,2010-12-29 00:00:00.000
118,20101229,3,7,1,15,23136.0,2010-12-29 00:00:00.000
119,20101229,3,7,1,18,13720.0,2010-12-29 00:00:00.000
120,20101229,3,7,1,19,43720.0,2010-12-29 00:00:00.000
121,20101229,3,7,1,20,13445.0,2010-12-29 00:00:00.000
122,20101229,3,7,1,21,59754.0,2010-12-29 00:00:00.000
123,20101229,3,7,1,22,11887.0,2010-12-29 00:00:00.000
124,20101229,3,7,1,23,4908.0,2010-12-29 00:00:00.000
125,20101229,3,7,1,24,23894.0,2010-12-29 00:00:00.000
126,20101229,3,7,1,28,20246.0,2010-12-29 00:00:00.000
127,20101229,3,7,1,29,175368.0,2010-12-29 00:00:00.000
128,20101229,3,7,1,31,55708.0,2010-12-29 00:00:00.000
129,20101229,3,7,1,32,29228.0,2010-12-29 00:00:00.000
130,20101229,3,7,1,33,28238.0,2010-12-29 00:00:00.000
131,20101229,3,7,1,34,9316.0,2010-12-29 00:00:00.000
132,20101229,3,7,1,35,42697.0,2010-12-29 00:00:00.000
133,20101229,3,7,1,37,33491.0,2010-12-29 00:00:00.000
134,20101229,3,7,1,38,36417.0,2010-12-29 00:00:00.000
135,20101229,3,7,1,39,55708.0,2010-12-29 00:00:00.000
136,20101229,3,7,1,40,29546.0,2010-12-29 00:00:00.000
137,20101229,3,7,1,42,350000.0,2010-12-29 00:00:00.000
138,20101229,3,7,1,43,-830343.5,2010-12-29 00:00:00.000
139,20101229,3,7,1,45,423790.5,2010-12-29 00:00:00.000
140,20101229,3,7,1,46,-25508.0,2010-12-29 00:00:00.000
141,20101229,3,7,1,60,5520.0,2010-12-29 00:00:00.000
142,20101229,3,7,2,60,5000.0,2010-12-29 00:00:00.000
143,20101229,3,7,2,61,480.0,2010-12-29 00:00:00.000
144,20101229,3,7,1,61,497.0,2010-12-29 00:00:00.000
145,20101229,3,7,1,62,331.0,2010-12-29 00:00:00.000
146,20101229,3,7,2,62,380.0,2010-12-29 00:00:00.000
147,20101229,3,7,2,65,90.0,2010-12-29 00:00:00.000
148,20101229,3,7,1,65,81.0,2010-12-29 00:00:00.000
149,20101229,3,7,1,66,74.0,2010-12-29 00:00:00.000
150,20101229,3,7,2,66,80.0,2010-12-29 00:00:00.000
151,20101229,3,7,2,67,40.0,2010-12-29 00:00:00.000
152,20101229,3,7,1,67,38.0,2010-12-29 00:00:00.000
153,20101229,3,7,1,68,29.0,2010-12-29 00:00:00.000
154,20101229,3,7,2,68,30.0,2010-12-29 00:00:00.000
155,20101229,3,7,1,69,8.0,2010-12-29 00:00:00.000
156,20101229,3,7,1,71,9.0,2010-12-29 00:00:00.000
157,20101229,3,7,2,71,30.0,2010-12-29 00:00:00.000
158,20101229,3,7,2,73,80.0,2010-12-29 00:00:00.000
159,20101229,3,7,1,73,57.0,2010-12-29 00:00:00.000
160,20101229,3,7,1,74,86.0,2010-12-29 00:00:00.000
161,20101229,3,7,2,74,100.0,2010-12-29 00:00:00.000
162,20101229,3,7,2,76,60.0,2010-12-29 00:00:00.000
163,20101229,3,7,1,76,71.0,2010-12-29 00:00:00.000
164,20101229,3,7,1,77,128.0,2010-12-29 00:00:00.000
165,20101229,3,7,2,77,100.0,2010-12-29 00:00:00.000
166,20101229,3,7,2,78,40.0,2010-12-29 00:00:00.000
167,20101229,3,7,1,78,39.0,2010-12-29 00:00:00.000
168,20101229,3,7,1,80,143.0,2010-12-29 00:00:00.000
169,20101229,3,7,2,80,100.0,2010-12-29 00:00:00.000
170,20101229,3,7,2,81,90.0,2010-12-29 00:00:00.000
171,20101229,3,7,1,81,89.0,2010-12-29 00:00:00.000
172,20101229,3,7,1,82,9.0,2010-12-29 00:00:00.000
173,20101229,3,7,2,82,10.0,2010-12-29 00:00:00.000
174,20101229,3,7,2,83,30.0,2010-12-29 00:00:00.000
175,20101229,3,7,1,83,30.0,2010-12-29 00:00:00.000
176,20101229,3,7,1,84,25.0,2010-12-29 00:00:00.000
177,20101229,3,7,2,84,30.0,2010-12-29 00:00:00.000
178,20101229,3,7,2,85,20.0,2010-12-29 00:00:00.000
179,20101229,3,7,1,85,24.0,2010-12-29 00:00:00.000
180,20101229,3,7,1,87,135.0,2010-12-29 00:00:00.000
181,20101229,3,7,2,87,100.0,2010-12-29 00:00:00.000
182,20101229,3,7,1,89,48.0,2010-12-29 00:00:00.000
183,20101229,3,7,1,90,73.0,2010-12-29 00:00:00.000
184,20101229,3,7,1,91,-58.0,2010-12-29 00:00:00.000
185,20101229,3,7,1,92,98.0,2010-12-29 00:00:00.000
186,20101229,3,7,1,94,52.0,2010-12-29 00:00:00.000
187,20101229,3,7,1,96,3.0,2010-12-29 00:00:00.000
188,20101229,3,7,1,100,23076.0,2010-12-29 00:00:00.000
189,20101229,4,1,1,60,43120.0,2010-12-29 00:00:00.000
190,20101229,4,1,2,60,40900.0,2010-12-29 00:00:00.000
191,20101229,4,1,2,61,4000.0,2010-12-29 00:00:00.000
192,20101229,4,1,1,61,5174.0,2010-12-29 00:00:00.000
193,20101229,4,1,1,62,3449.0,2010-12-29 00:00:00.000
194,20101229,4,1,2,62,3600.0,2010-12-29 00:00:00.000
195,20101229,4,1,2,65,850.0,2010-12-29 00:00:00.000
196,20101229,4,1,1,65,770.0,2010-12-29 00:00:00.000
197,20101229,4,1,1,66,700.0,2010-12-29 00:00:00.000
198,20101229,4,1,2,66,750.0,2010-12-29 00:00:00.000
199,20101229,4,1,2,67,380.0,2010-12-29 00:00:00.000
200,20101229,4,1,1,67,352.0,2010-12-29 00:00:00.000
201,20101229,4,1,1,68,264.0,2010-12-29 00:00:00.000
202,20101229,4,1,2,68,280.0,2010-12-29 00:00:00.000
203,20101229,4,1,1,69,77.0,2010-12-29 00:00:00.000
204,20101229,4,1,1,71,99.0,2010-12-29 00:00:00.000
205,20101229,4,1,2,71,110.0,2010-12-29 00:00:00.000
206,20101229,4,1,2,73,500.0,2010-12-29 00:00:00.000
207,20101229,4,1,1,73,486.0,2010-12-29 00:00:00.000
208,20101229,4,1,1,74,240.0,2010-12-29 00:00:00.000
209,20101229,4,1,2,74,280.0,2010-12-29 00:00:00.000
210,20101229,4,1,2,76,550.0,2010-12-29 00:00:00.000
211,20101229,4,1,1,76,561.0,2010-12-29 00:00:00.000
212,20101229,4,1,1,77,1009.0,2010-12-29 00:00:00.000
213,20101229,4,1,2,77,950.0,2010-12-29 00:00:00.000
214,20101229,4,1,2,78,280.0,2010-12-29 00:00:00.000
215,20101229,4,1,1,78,277.0,2010-12-29 00:00:00.000
216,20101229,4,1,1,80,1051.0,2010-12-29 00:00:00.000
217,20101229,4,1,2,80,1000.0,2010-12-29 00:00:00.000
218,20101229,4,1,2,81,650.0,2010-12-29 00:00:00.000
219,20101229,4,1,1,81,650.0,2010-12-29 00:00:00.000
220,20101229,4,1,1,82,62.0,2010-12-29 00:00:00.000
221,20101229,4,1,2,82,70.0,2010-12-29 00:00:00.000
222,20101229,4,1,2,83,200.0,2010-12-29 00:00:00.000
223,20101229,4,1,1,83,217.0,2010-12-29 00:00:00.000
224,20101229,4,1,1,84,180.0,2010-12-29 00:00:00.000
225,20101229,4,1,2,84,200.0,2010-12-29 00:00:00.000
226,20101229,4,1,2,85,200.0,2010-12-29 00:00:00.000
227,20101229,4,1,1,85,174.0,2010-12-29 00:00:00.000
228,20101229,4,1,1,87,990.0,2010-12-29 00:00:00.000
229,20101229,4,1,2,87,850.0,2010-12-29 00:00:00.000
230,20101229,4,1,1,89,176.0,2010-12-29 00:00:00.000
231,20101229,4,1,1,90,270.0,2010-12-29 00:00:00.000
232,20101229,4,1,1,91,-216.0,2010-12-29 00:00:00.000
233,20101229,4,1,1,92,360.0,2010-12-29 00:00:00.000
234,20101229,4,1,1,94,96.0,2010-12-29 00:00:00.000
235,20101229,4,1,1,96,11.0,2010-12-29 00:00:00.000
236,20101229,4,2,1,12,34545.0,2010-12-29 00:00:00.000
237,20101229,4,6,1,52,4505.0,2010-12-29 00:00:00.000
238,20101229,4,6,2,52,3900.0,2010-12-29 00:00:00.000
239,20101229,4,6,2,53,-1600.0,2010-12-29 00:00:00.000
240,20101229,4,6,1,53,-1126.0,2010-12-29 00:00:00.000
241,20101229,4,6,1,56,42417.0,2010-12-29 00:00:00.000
242,20101229,4,6,2,56,55000.0,2010-12-29 00:00:00.000
243,20101229,4,6,2,57,1500.0,2010-12-29 00:00:00.000
244,20101229,4,6,1,57,938.0,2010-12-29 00:00:00.000
245,20101229,4,6,1,60,26040.0,2010-12-29 00:00:00.000
246,20101229,4,6,2,60,22700.0,2010-12-29 00:00:00.000
247,20101229,4,6,2,61,2000.0,2010-12-29 00:00:00.000
248,20101229,4,6,1,61,2083.0,2010-12-29 00:00:00.000
249,20101229,4,6,1,62,1562.0,2010-12-29 00:00:00.000
250,20101229,4,6,2,62,1600.0,2010-12-29 00:00:00.000
251,20101229,4,6,2,63,6200.0,2010-12-29 00:00:00.000
252,20101229,4,6,1,63,3379.0,2010-12-29 00:00:00.000
253,20101229,4,6,1,65,378.0,2010-12-29 00:00:00.000
254,20101229,4,6,2,65,380.0,2010-12-29 00:00:00.000
255,20101229,4,6,2,66,380.0,2010-12-29 00:00:00.000
256,20101229,4,6,1,66,343.0,2010-12-29 00:00:00.000
257,20101229,4,6,1,67,182.0,2010-12-29 00:00:00.000
258,20101229,4,6,2,67,200.0,2010-12-29 00:00:00.000
259,20101229,4,6,2,68,100.0,2010-12-29 00:00:00.000
260,20101229,4,6,1,68,133.0,2010-12-29 00:00:00.000
261,20101229,4,6,1,69,38.0,2010-12-29 00:00:00.000
262,20101229,4,6,1,71,63.0,2010-12-29 00:00:00.000
263,20101229,4,6,2,71,70.0,2010-12-29 00:00:00.000
264,20101229,4,6,2,72,380.0,2010-12-29 00:00:00.000
265,20101229,4,6,1,72,225.0,2010-12-29 00:00:00.000
266,20101229,4,6,1,73,263.0,2010-12-29 00:00:00.000
267,20101229,4,6,2,73,300.0,2010-12-29 00:00:00.000
268,20101229,4,6,2,74,200.0,2010-12-29 00:00:00.000
269,20101229,4,6,1,74,187.0,2010-12-29 00:00:00.000
270,20101229,4,6,1,76,1201.0,2010-12-29 00:00:00.000
271,20101229,4,6,2,76,1500.0,2010-12-29 00:00:00.000
272,20101229,4,6,2,77,550.0,2010-12-29 00:00:00.000
273,20101229,4,6,1,77,604.0,2010-12-29 00:00:00.000
274,20101229,4,6,1,78,193.0,2010-12-29 00:00:00.000
275,20101229,4,6,2,78,200.0,2010-12-29 00:00:00.000
276,20101229,4,6,2,80,650.0,2010-12-29 00:00:00.000
277,20101229,4,6,1,80,749.0,2010-12-29 00:00:00.000
278,20101229,4,6,1,81,464.0,2010-12-29 00:00:00.000
279,20101229,4,6,2,81,380.0,2010-12-29 00:00:00.000
280,20101229,4,6,2,82,50.0,2010-12-29 00:00:00.000
281,20101229,4,6,1,82,47.0,2010-12-29 00:00:00.000
282,20101229,4,6,1,83,165.0,2010-12-29 00:00:00.000
283,20101229,4,6,2,83,100.0,2010-12-29 00:00:00.000
284,20101229,4,6,2,84,100.0,2010-12-29 00:00:00.000
285,20101229,4,6,1,84,145.0,2010-12-29 00:00:00.000
286,20101229,4,6,1,85,132.0,2010-12-29 00:00:00.000
287,20101229,4,6,2,85,100.0,2010-12-29 00:00:00.000
288,20101229,4,6,2,87,550.0,2010-12-29 00:00:00.000
289,20101229,4,6,1,87,630.0,2010-12-29 00:00:00.000
290,20101229,4,6,1,89,142.0,2010-12-29 00:00:00.000
291,20101229,4,6,1,90,218.0,2010-12-29 00:00:00.000
292,20101229,4,6,1,91,-174.0,2010-12-29 00:00:00.000
293,20101229,4,6,1,92,291.0,2010-12-29 00:00:00.000
294,20101229,4,6,1,94,3303.0,2010-12-29 00:00:00.000
295,20101229,4,6,1,96,7.0,2010-12-29 00:00:00.000
296,20101229,4,6,1,97,95.0,2010-12-29 00:00:00.000
297,20101229,4,6,1,99,63000.0,2010-12-29 00:00:00.000
298,20101229,4,6,2,101,123900.0,2010-12-29 00:00:00.000
299,20101229,4,6,1,101,112648.0,2010-12-29 00:00:00.000
300,20101229,4,7,1,4,138120.0,2010-12-29 00:00:00.000
301,20101229,4,7,1,6,172658.0,2010-12-29 00:00:00.000
302,20101229,4,7,1,7,5181.0,2010-12-29 00:00:00.000
303,20101229,4,7,1,8,3453.0,2010-12-29 00:00:00.000
304,20101229,4,7,1,13,23826.0,2010-12-29 00:00:00.000
305,20101229,4,7,1,14,16229.0,2010-12-29 00:00:00.000
306,20101229,4,7,1,15,31769.0,2010-12-29 00:00:00.000
307,20101229,4,7,1,18,10976.0,2010-12-29 00:00:00.000
308,20101229,4,7,1,19,34976.0,2010-12-29 00:00:00.000
309,20101229,4,7,1,20,10646.0,2010-12-29 00:00:00.000
310,20101229,4,7,1,21,48713.0,2010-12-29 00:00:00.000
311,20101229,4,7,1,22,9416.0,2010-12-29 00:00:00.000
312,20101229,4,7,1,23,3849.0,2010-12-29 00:00:00.000
313,20101229,4,7,1,24,20310.0,2010-12-29 00:00:00.000
314,20101229,4,7,1,28,16196.0,2010-12-29 00:00:00.000
315,20101229,4,7,1,29,149442.0,2010-12-29 00:00:00.000
316,20101229,4,7,1,31,46294.0,2010-12-29 00:00:00.000
317,20101229,4,7,1,32,25924.0,2010-12-29 00:00:00.000
318,20101229,4,7,1,33,21738.0,2010-12-29 00:00:00.000
319,20101229,4,7,1,34,12448.0,2010-12-29 00:00:00.000
320,20101229,4,7,1,35,32590.0,2010-12-29 00:00:00.000
321,20101229,4,7,1,37,25665.0,2010-12-29 00:00:00.000
322,20101229,4,7,1,38,26166.0,2010-12-29 00:00:00.000
323,20101229,4,7,1,39,45395.0,2010-12-29 00:00:00.000
324,20101229,4,7,1,40,23636.0,2010-12-29 00:00:00.000
325,20101229,4,7,1,42,350000.0,2010-12-29 00:00:00.000
326,20101229,4,7,1,43,-491124.0,2010-12-29 00:00:00.000
327,20101229,4,7,1,45,291070.0,2010-12-29 00:00:00.000
328,20101229,4,7,1,46,-27492.0,2010-12-29 00:00:00.000
329,20101229,4,7,1,100,16719.0,2010-12-29 00:00:00.000
330,20101229,5,1,1,60,33920.0,2010-12-29 00:00:00.000
331,20101229,5,1,2,60,31600.0,2010-12-29 00:00:00.000
332,20101229,5,1,2,61,2700.0,2010-12-29 00:00:00.000
333,20101229,5,1,1,61,3731.0,2010-12-29 00:00:00.000
334,20101229,5,1,1,62,2035.0,2010-12-29 00:00:00.000
335,20101229,5,1,2,62,1900.0,2010-12-29 00:00:00.000
336,20101229,5,1,2,65,480.0,2010-12-29 00:00:00.000
337,20101229,5,1,1,65,440.0,2010-12-29 00:00:00.000
338,20101229,5,1,1,66,400.0,2010-12-29 00:00:00.000
339,20101229,5,1,2,66,380.0,2010-12-29 00:00:00.000
340,20101229,5,1,2,67,200.0,2010-12-29 00:00:00.000
341,20101229,5,1,1,67,208.0,2010-12-29 00:00:00.000
342,20101229,5,1,1,68,152.0,2010-12-29 00:00:00.000
343,20101229,5,1,2,68,200.0,2010-12-29 00:00:00.000
344,20101229,5,1,1,69,44.0,2010-12-29 00:00:00.000
345,20101229,5,1,1,71,64.0,2010-12-29 00:00:00.000
346,20101229,5,1,2,71,90.0,2010-12-29 00:00:00.000
347,20101229,5,1,2,73,300.0,2010-12-29 00:00:00.000
348,20101229,5,1,1,73,301.0,2010-12-29 00:00:00.000
349,20101229,5,1,1,74,192.0,2010-12-29 00:00:00.000
350,20101229,5,1,2,74,200.0,2010-12-29 00:00:00.000
351,20101229,5,1,2,76,380.0,2010-12-29 00:00:00.000
352,20101229,5,1,1,76,384.0,2010-12-29 00:00:00.000
353,20101229,5,1,1,77,691.0,2010-12-29 00:00:00.000
354,20101229,5,1,2,77,650.0,2010-12-29 00:00:00.000
355,20101229,5,1,2,78,200.0,2010-12-29 00:00:00.000
356,20101229,5,1,1,78,210.0,2010-12-29 00:00:00.000
357,20101229,5,1,1,80,806.0,2010-12-29 00:00:00.000
358,20101229,5,1,2,80,850.0,2010-12-29 00:00:00.000
359,20101229,5,1,2,81,550.0,2010-12-29 00:00:00.000
360,20101229,5,1,1,81,499.0,2010-12-29 00:00:00.000
361,20101229,5,1,1,82,49.0,2010-12-29 00:00:00.000
362,20101229,5,1,2,82,60.0,2010-12-29 00:00:00.000
363,20101229,5,1,2,83,200.0,2010-12-29 00:00:00.000
364,20101229,5,1,1,83,172.0,2010-12-29 00:00:00.000
365,20101229,5,1,1,84,147.0,2010-12-29 00:00:00.000
366,20101229,5,1,2,84,200.0,2010-12-29 00:00:00.000
367,20101229,5,1,2,85,200.0,2010-12-29 00:00:00.000
368,20101229,5,1,1,85,138.0,2010-12-29 00:00:00.000
369,20101229,5,1,1,87,720.0,2010-12-29 00:00:00.000
370,20101229,5,1,2,87,750.0,2010-12-29 00:00:00.000
371,20101229,5,1,1,89,144.0,2010-12-29 00:00:00.000
372,20101229,5,1,1,90,220.0,2010-12-29 00:00:00.000
373,20101229,5,1,1,91,-176.0,2010-12-29 00:00:00.000
374,20101229,5,1,1,92,294.0,2010-12-29 00:00:00.000
375,20101229,5,1,1,94,219.0,2010-12-29 00:00:00.000
376,20101229,5,1,1,96,8.0,2010-12-29 00:00:00.000
377,20101229,5,2,1,12,17392.0,2010-12-29 00:00:00.000
378,20101229,5,6,1,52,1683.0,2010-12-29 00:00:00.000
379,20101229,5,6,2,52,2200.0,2010-12-29 00:00:00.000
380,20101229,5,6,2,53,-250.0,2010-12-29 00:00:00.000
